Step,Device,Power(W)
189,device_PV,-5551.23
189,device_Load1,2125.78
189,device_Load2,5811.89
189,device_EV,0.00
189,device_ESS,-0.00
190,device_PV,-4838.82
190,device_Load1,2201.21
190,device_Load2,5892.83
190,device_EV,0.00
190,device_ESS,-0.00
191,device_PV,-2922.82
191,device_Load1,2126.96
191,device_Load2,5894.91
191,device_EV,0.00
191,device_ESS,-0.00
192,device_PV,-2762.75
192,device_Load1,2112.22
192,device_Load2,5678.01
192,device_EV,0.00
192,device_ESS,-0.00
193,device_PV,-4334.95
193,device_Load1,2143.97
193,device_Load2,5574.70
193,device_EV,0.00
193,device_ESS,-0.00
194,device_PV,-3185.50
194,device_Load1,2185.04
194,device_Load2,5626.47
194,device_EV,0.00
194,device_ESS,-0.00
195,device_PV,-3447.14
195,device_Load1,2048.71
195,device_Load2,5790.06
195,device_EV,0.00
195,device_ESS,-0.00
196,device_PV,-2570.89
196,device_Load1,2097.69
196,device_Load2,5694.29
196,device_EV,0.00
196,device_ESS,-0.00
197,device_PV,-2889.38
197,device_Load1,1940.19
197,device_Load2,5751.69
197,device_EV,0.00
197,device_ESS,-0.00
198,device_PV,-4493.39
198,device_Load1,1987.78
198,device_Load2,5715.50
198,device_EV,0.00
198,device_ESS,-0.00
199,device_PV,-3063.50
199,device_Load1,1951.42
199,device_Load2,5883.68
199,device_EV,0.00
199,device_ESS,-0.00
200,device_PV,-2192.92
200,device_Load1,2190.58
200,device_Load2,5712.32
200,device_EV,0.00
200,device_ESS,-0.00
201,device_PV,-4031.81
201,device_Load1,1945.59
201,device_Load2,5600.43
201,device_EV,0.00
201,device_ESS,-0.00
202,device_PV,-2521.63
202,device_Load1,1958.66
202,device_Load2,5661.42
202,device_EV,0.00
202,device_ESS,-0.00
203,device_PV,-1880.05
203,device_Load1,2199.32
203,device_Load2,5831.09
203,device_EV,0.00
203,device_ESS,-0.00
204,device_PV,-1084.59
204,device_Load1,1973.39
204,device_Load2,5733.00
204,device_EV,6000.00
204,device_ESS,-0.00
205,device_PV,-1672.91
205,device_Load1,1822.41
205,device_Load2,5860.73
205,device_EV,6000.00
205,device_ESS,-0.00
206,device_PV,-2065.13
206,device_Load1,1716.86
206,device_Load2,5620.03
206,device_EV,6000.00
206,device_ESS,-0.00
207,device_PV,-1258.52
207,device_Load1,1898.37
207,device_Load2,5815.62
207,device_EV,6000.00
207,device_ESS,-0.00
208,device_PV,-2539.42
208,device_Load1,1771.24
208,device_Load2,5662.31
208,device_EV,6000.00
208,device_ESS,-0.00
209,device_PV,-578.70
209,device_Load1,1792.68
209,device_Load2,5659.57
209,device_EV,6000.00
209,device_ESS,-0.00
210,device_PV,-146.84
210,device_Load1,1813.15
210,device_Load2,5677.42
210,device_EV,6000.00
210,device_ESS,-0.00
211,device_PV,-190.47
211,device_Load1,1803.91
211,device_Load2,5719.41
211,device_EV,6000.00
211,device_ESS,-0.00
212,device_PV,-1663.78
212,device_Load1,1728.38
212,device_Load2,5606.27
212,device_EV,6000.00
212,device_ESS,-0.00
213,device_PV,-129.37
213,device_Load1,1808.85
213,device_Load2,5669.58
213,device_EV,6000.00
213,device_ESS,-0.00
214,device_PV,-1309.60
214,device_Load1,1890.84
214,device_Load2,5582.70
214,device_EV,6000.00
214,device_ESS,-0.00
215,device_PV,-480.03
215,device_Load1,1784.39
215,device_Load2,5731.91
215,device_EV,6000.00
215,device_ESS,-0.00
216,device_PV,-1292.98
216,device_Load1,1583.19
216,device_Load2,2641.89
216,device_EV,6000.00
216,device_ESS,-0.00
217,device_PV,-1109.35
217,device_Load1,1597.21
217,device_Load2,2565.10
217,device_EV,6000.00
217,device_ESS,-0.00
218,device_PV,-0.00
218,device_Load1,1697.70
218,device_Load2,2898.79
218,device_EV,6000.00
218,device_ESS,-0.00
219,device_PV,-0.00
219,device_Load1,1721.43
219,device_Load2,2805.27
219,device_EV,6000.00
219,device_ESS,-0.00
220,device_PV,-1237.17
220,device_Load1,1621.05
220,device_Load2,2872.97
220,device_EV,6000.00
220,device_ESS,-0.00
221,device_PV,-0.00
221,device_Load1,1676.86
221,device_Load2,2856.78
221,device_EV,6000.00
221,device_ESS,-0.00
222,device_PV,-0.00
222,device_Load1,1520.77
222,device_Load2,2626.46
